"","judgname","ideal","SD","judgecnt"
"1","Abraham",0.0788533200290715,0.168165581687583,"France"
"2","Ago",0.257098486096609,0.17535893847586,"Italy"
"3","Aguilar",-0.761364081909081,0.366539367367092,"Venezuela"
"4","Ajibola",-0.475020354049575,0.88554232282699,"Nigeria"
"5","Al-Khasawneh",0.29002640290221,0.143541632015723,"Jordan"
"6","Baxter",0.836912337081292,1.115073094346,"UnitedStates"
"7","Bedjaoui",-0.433050836648449,0.149214409485307,"Algeria"
"8","Bengzon",-0.98135986004384,1.07313428023635,"Philippines"
"9","Bennouna",0.243325863600216,0.128218581791768,"Morocco"
"10","Bhandari",-0.0227084814473755,0.254845175506654,"India"
"11","Buergenthal",0.609719511920548,0.175867113063335,"UnitedStates"
"12","CancadoTrindade",0.702921370448637,0.219164750295283,"Brazil"
"13","Charlesworth",0.839930092766133,0.923781400320567,"Australia"
"14","Crawford",0.529582177198942,0.373595653573247,"Australia"
"15","DeCastro",2.71948858052236,0.930224653506912,"Spain"
"16","deLacharriere",-0.505636635439831,0.435487595319508,"France"
"17","Dillard",1.47364221984559,0.695756124386523,"UnitedStates"
"18","Donoghue",-0.322169732034324,0.319262194654101,"UnitedStates"
"19","El-Erian",0.89431048882493,1.03373825292521,"Egypt"
"20","El-Khani",-2.03212127690734,0.969240254041537,"Syria"
"21","Elaraby",0.320994349859429,0.223659750129832,"Egypt"
"22","Elias",-0.600802586530173,0.291804267589278,"Nigeria"
"23","Evensen",-0.284914949049947,0.295546026363055,"Norway"
"24","Ferrari",-0.041583897247078,0.348716346067406,"Italy"
"25","Fleischhauer",-0.119663723350077,0.17613128962859,"Germany"
"26","Forster",0.083406090302536,0.528740436195148,"Senegal"
"27","Gaja",-0.309269566873643,0.208562794331447,"Italy"
"28","Gevorgian",-0.581797737057273,0.336968472114258,"RussianFederation"
"29","Greenwood",-0.150862310509709,0.161844524412866,"UnitedKingdom"
"30","Gros",-0.0676925918432981,0.560632424162756,"France"
"31","Guillaume",-0.0935787981031685,0.153772936739159,"France"
"32","Herczegh",0.161426443265062,0.180143439936592,"Hungary"
"33","Higgins",0.110613808309535,0.141983688177756,"UnitedKingdom"
"34","Ignacio-Pinto",-0.948934427098445,1.02681394794015,"Benin"
"35","Iwasawa",0.435697591777524,0.46237238725024,"Japan"
"36","Jennings",0.93751163634127,0.235521966949639,"UnitedKingdom"
"37","JimenezdeArecha",1.46753043139052,0.676204190109744,"Uruguay"
"38","Keith",0.00866360620998736,0.137457844537061,"NewZealand"
"39","Kooijmans",0.211543922644385,0.166100239026936,"Netherlands"
"40","Koroma",-0.816151577798214,0.152374580731081,"SierraLeone"
"41","Lachs",-0.763039063216123,0.307137568529996,"Poland"
"42","Mbaye",-0.440067324900644,0.363791995294063,"Senegal"
"43","Morozov",-3.36328824890813,0.822836014109146,"USSR"
"44","Mosler",1.22454683834705,0.565530784954967,"Germany"
"45","NagendraSingh",-0.347327631567182,0.286833179804848,"India"
"46","Ni",-0.436656514706351,0.330180484284978,"China"
"47","Nolte",0.0440973685595811,0.406446319430748,"Germany"
"48","Oda",3.39704213043535,0.669600458001182,"Japan"
"49","Onyeama",1.73936302044446,0.885504557017475,"Nigeria"
"50","Owada",-0.0407335240941338,0.161090596374723,"Japan"
"51","Parra-Aranguren",-0.546407898920306,0.153558822042818,"Venezuela"
"52","Pathak",0.727329577485928,1.12785591696261,"India"
"53","Petren",-0.935945579207901,1.00573995488777,"Sweden"
"54","Ranjeva",-0.379665344972912,0.139655724099881,"Madagascar"
"55","Rezek",-0.601429180001259,0.156798453249222,"Brazil"
"56","Robinson",1.36606777120208,0.94658806701083,"Jamaica"
"57","Ruda",-0.346883873176013,0.268627005107009,"Argentina"
"58","Salam",1.15618514089227,0.866096647525368,"Lebanon"
"59","Schwebel",0.988562790318271,0.223703351508954,"UnitedStates"
"60","Sebutinde",0.24371551475477,0.273390207455594,"Uganda"
"61","Sepulveda-Amor",-0.0644605080696393,0.151084181780399,"Mexico"
"62","Sette-Camara",-0.13625875590405,0.261764705831011,"Brazil"
"63","Shahabuddeen",-0.696245409481426,0.193178384294228,"Guyana"
"64","Shi",-0.515787391985082,0.136927391721647,"China"
"65","Simma",0.175499590927441,0.147156518994523,"Germany"
"66","Skotnikov",-0.621947175973856,0.189504318033759,"RussianFederation"
"67","Tarassov",-1.67640733097416,0.6749024843239,"RussianFederation"
"68","Tarazi",-2.02490198519457,0.629451256924774,"Syria"
"69","Tomka",-0.295486748269892,0.135375435363498,"Slovakia"
"70","Vereshchetin",-0.660899701741565,0.149681835626663,"RussianFederation"
"71","Waldock",1.49504844244055,0.679833914193438,"UnitedKingdom"
"72","Weeramantry",-1.10950598273501,0.204481979234134,"SriLanka"
"73","Xue",-0.531618873735718,0.211066397157289,"China"
"74","Yusuf",0.312990554532219,0.156708827486017,"Somalia"
