"","item","alpha","beta"
"1","66advisory_opinion2A",-0.906782524951109,0.832162136961121
"2","66advisory_opinion1",-0.692144831877305,0.852871492084625
"3","66advisory_opinion2B",-1.40056703912997,0.710720006463012
"4","70jurisdiction1c",-2.14597503351289,-2.62207430763765
"5","70jurisdiction1a",0.65316178147664,-4.46315182411855
"6","70jurisdiction1b",-0.981671450356738,-0.874369647114415
"7","68application_to_intervene1",0.677863922942078,-2.81937087367809
"8","70declaration_of_intervention2",2.17143323941659,2.65894437731278
"9","70declaration_of_intervention1",-0.171618377850307,1.29917409024021
"10","70request_for_provisional_measuresB2",-2.16283596613604,-2.67758153894704
"11","68judgment1",-0.74099131184136,-3.69410051189435
"12","70merits4",-0.479015010749827,-4.54691327318901
"13","70merits5",-0.474174332291383,-4.55593046942568
"14","70merits2",-0.481968502892264,-4.49640752101027
"15","70merits13",-0.471830966559047,-4.50662056210246
"16","70merits3",-0.470459020259115,-4.50266574137973
"17","70merits11",-0.485759464912165,-4.53362970990491
"18","70merits7",-2.10396662124478,-2.60355662510731
"19","70merits8",-2.28052984297024,-3.00197164472563
"20","70merits14",-2.11096338370851,-2.62281918155928
"21","70merits1",-1.76535023762618,2.44081465762048
"22","70merits10",-0.48420707145858,-4.51105196506431
"23","70merits15",-2.09344646607135,-2.60154640156413
"24","70merits12",-0.479137953922345,-4.56393969525707
"25","70merits6",-0.479281917308061,-4.55036371614654
"26","70merits9",-2.30349953889501,-3.01562045354503
"27","72advisory_opinion2",-0.544182031423133,-1.49707703527234
"28","75application_to_intervene1",-2.18045273508251,2.39802582534899
"29","88request_for_provisional_measures1",1.89499111127588,-2.19866684266658
"30","80preliminary_objections1e",-2.26657715199563,-2.98740799444427
"31","80preliminary_objections1d",-2.26374932028155,-2.99967310355559
"32","80preliminary_objections1b",-2.25189137135675,-2.95885490436391
"33","80preliminary_objections1c",-2.25178705218218,-2.94916565105236
"34","80preliminary_objections2",0.413255347994076,-4.21858674180768
"35","89request_for_provisional_measures1",1.89217136758402,-2.19987730260594
"36","80preliminary_objections1f",0.417191272860035,-4.24955689692065
"37","91request_for_provisional_measuresA2",-2.20360816267177,0.980998453567795
"38","91request_for_provisional_measures_22",-2.16113225678022,0.997053385933382
"39","91request_for_provisional_measures_21",-2.16968469469058,1.00412615477939
"40","87jurisdiction5",-2.40260137800888,-3.06856761066445
"41","87jurisdiction3",-2.38598893395672,-3.0202542692903
"42","87jurisdiction1",-2.39843392613669,-3.08123804290472
"43","87jurisdiction2",-2.38203742878316,-3.01943227751969
"44","87jurisdiction4",-2.37268689396235,-3.01545490849545
"45","97request_for_an_examination_of_the_situation3",3.9843341819343,-4.04443097832556
"46","87jurisdiction_&_admissibility1",-0.377299361079043,-0.528375205018342
"47","97request_for_an_examination_of_the_situation2",3.99733482730648,-4.06806169812594
"48","84judgment1",4.45083438992812,-3.43156267303759
"49","87jurisdiction_&_admissibility2",-0.376463025229196,-0.545589575786295
"50","97request_for_an_examination_of_the_situation1",4.00802627984007,-4.07970955665734
"51","91preliminary_objections3",-2.21389219188409,-2.94111385552344
"52","91preliminary_objections1b",-0.613781947271982,-0.491924847079842
"53","90preliminary_objections1",-1.89829362395062,-4.16997906855972
"54","95advisory_opinion1",-2.40483234556314,-3.05576822869786
"55","93advisory_opinion1",3.27433712136302,-3.96971527141205
"56","95advisory_opinion2B",3.29489697576738,-3.99028933606713
"57","95advisory_opinion2E",-0.0759141748157068,0.210600494532921
"58","91preliminary_objections2a",-2.2120732657759,-2.96446223408328
"59","94request_for_provisional_measures3",-1.98555432275911,2.42671700781859
"60","90preliminary_objections2",-1.87931273827493,-4.17094974039115
"61","91counter_claimB",4.27313858214472,-3.35145862677197
"62","92judgment2d",0.806761717564073,0.0719233269070298
"63","92judgment2a",0.330576012085252,1.18453450474865
"64","92judgment2b",0.71654902254835,1.96942824771518
"65","92judgment1b",-0.00886994109827085,0.648265155527999
"66","92judgment1c",-0.664244917933453,0.203231777622649
"67","92judgment1d",0.330095331694896,1.17994318502713
"68","92judgment2e",0.708996375268994,1.985999154336
"69","91counter_claimA",4.27055920421037,-3.35353257133572
"70","92judgment2c",0.716966486024919,1.99175184611945
"71","92judgment1a",1.60416469659761,1.11039688288739
"72","89preliminary_objections2a",-0.800878632662415,-3.89937899099418
"73","89preliminary_objections1b",-1.73611404685564,-4.14307827615184
"74","94preliminary_objections1g",0.478726262486836,0.747373394023421
"75","89preliminary_objections2b",-0.811682411106616,-3.93802960909685
"76","94preliminary_objections1d",0.906622031264547,-0.0739782591771875
"77","94preliminary_objections1b",3.18670596836969,-2.1529572286499
"78","94preliminary_objections1e",0.886189054578737,-0.00386271586182692
"79","89preliminary_objections3",0.440485567154242,-3.76895126612811
"80","89preliminary_objections1a",-1.74667312412444,-4.13159492876936
"81","94preliminary_objections3",-4.12954747620701,4.13603773585539
"82","96jurisdiction1",1.73532439054333,-2.10962199030976
"83","94preliminary_objections2",0.472328280095035,0.738605589732031
"84","94preliminary_objections1c",3.16173938875008,-2.13361299592525
"85","94preliminary_objections4",-4.11420467692459,4.10843791998855
"86","94preliminary_objections1a",4.09561298350773,-4.10872831197505
"87","94preliminary_objections1f",3.17527065029607,-2.13454209414231
"88","108request_for_provisional_measures1",1.68872864105699,-1.08121149788433
"89","111request_for_provisional_measures2",2.44269874257793,3.05335780096447
"90","98judgment2",-1.11260777059348,1.11205766963103
"91","100advisory_opinion2B",-3.15727098139307,2.12728751504645
"92","106request_for_provisional_measures1",2.11318346153743,-2.33609365848201
"93","105request_for_provisional_measures2",2.43875854968485,3.0637483997666
"94","113request_for_provisional_measures2",2.44494675483089,3.06109605550422
"95","112request_for_provisional_measures1",1.67282033878153,-1.05840919823574
"96","100advisory_opinion1B",-3.16000253252329,2.13641514412904
"97","107request_for_provisional_measures2",2.43499469943243,3.07480190383472
"98","114request_for_provisional_measures1",1.68703090297916,-1.06217339136045
"99","111request_for_provisional_measures1",2.13103990250156,-2.34746904354345
"100","110request_for_provisional_measures2",2.42990736173113,3.09035423729409
"101","109request_for_provisional_measures1",1.69247892324148,-1.07907438570628
"102","113request_for_provisional_measures1",1.68544088717549,-1.05702979845861
"103","101request_for_interpretation1",3.98791700365849,-4.05025251569614
"104","112request_for_provisional_measures2",1.81005356644428,-1.26844055851926
"105","106request_for_provisional_measures2",2.43134297981345,3.06735648248216
"106","100advisory_opinion2A",-1.11618507410478,-0.272994883915281
"107","107request_for_provisional_measures1",1.68693913229161,-1.0637608881148
"108","100advisory_opinion4",-1.10953721962183,-0.277370916114898
"109","105request_for_provisional_measures1",2.12642382132889,-2.35838327252915
"110","109request_for_provisional_measures2",2.4237623753123,3.04755762341307
"111","98judgment1",-1.12046246765995,1.1339324135598
"112","108request_for_provisional_measures2",2.41521189778521,3.03597040032316
"113","114request_for_provisional_measures2",1.82362184446236,-1.26817955172103
